label,rsi,macd,cci,is_above_sma50,is_above_ema50,is_above_sma100,is_above_ema100,volume,volatility,momentum,oversold,overbought,rsi_macd,close_mean_window,close_std_window,rsi_mean_window,rsi_std_window
1,43.39,-3.81,-54.79,0,0,0,0,29128500.0,0.1,10.104996,0,0,-165.27,242.16,26.3,43.84,15.02
1,47.64,-3.2,-12.67,0,0,0,0,30612100.0,0.09,11.73800700000001,0,0,-152.53,241.47,24.87,43.24,13.39
1,44.17,-3.51,-32.19,0,0,0,0,40783700.0,0.1,-10.185990000000004,0,0,-154.86,241.39,24.75,44.27,12.56
1,44.03,-3.74,-70.86,0,0,0,0,26594300.0,0.09,-0.6580050000000028,0,0,-164.47,241.53,24.91,45.27,11.47
1,40.96,-4.6,-77.24,0,0,0,0,22516400.0,0.1,-10.554001,0,0,-188.58,241.56,24.95,45.99,11.21
1,43.22,-4.84,-75.7,0,0,0,0,24435300.0,0.09,5.343002000000013,0,0,-209.22,241.37,24.64,46.45,11.3
1,45.6,-4.55,-49.96,0,0,0,0,21604200.0,0.09,5.121002000000004,0,0,-207.71,241.29,24.47,46.88,11.63
1,44.03,-4.61,-57.52,0,0,0,0,17145200.0,0.08,-4.280990000000003,0,0,-202.93,241.43,24.74,47.43,11.89
1,42.82,-4.85,-88.9,0,0,0,0,27791300.0,0.08,-3.2790069999999787,0,0,-207.7,241.53,24.95,47.9,12.24
1,42.71,-5.01,-107.87,0,0,0,0,21115100.0,0.08,-0.4429930000000013,0,0,-213.79,241.85,25.5,48.47,12.41
1,42.45,-5.12,-89.38,0,0,0,0,17201900.0,0.07,-0.5469970000000046,0,0,-217.28,242.17,25.93,48.98,12.31
1,43.94,-4.95,-76.37,0,0,0,0,15206200.0,0.07,2.556015000000002,0,0,-217.51,242.4,26.22,49.42,12.19
1,51.16,-3.71,125.65,0,1,0,0,42744400.0,0.07,13.458007999999978,0,0,-189.6,243.39,26.72,50.09,11.72
1,60.04,-0.99,264.65,1,1,1,1,49732500.0,0.06,21.793014,0,0,-59.64,245.24,26.02,50.89,10.91
1,49.98,-0.6,131.24,0,0,0,0,56552400.0,0.08,-22.68199199999998,0,0,-30.19,246.48,26.1,51.37,10.61
